,city,X,Y,items,weights,profit
78,78,5840,6948,"[77, 4537, 8997, 13457, 17917]",[1009 1009 1005 1006 1009],[155  19 324 945 202]
79,79,5841,6686,"[78, 4538, 8998, 13458, 17918]",[1008 1001 1008 1000 1008],[723 148 878 406 219]
80,80,5842,6665,"[79, 4539, 8999, 13459, 17919]",[1009 1004 1009 1005 1008],[723 423 539 110 819]
81,81,5844,6160,"[80, 4540, 9000, 13460, 17920]",[1004 1002 1003 1001 1006],[667 322 342 850 886]
82,82,5846,6807,"[81, 4541, 9001, 13461, 17921]",[1007 1007 1000 1002 1004],[829 787 565  91  68]
83,83,5847,6544,"[82, 4542, 9002, 13462, 17922]",[1004 1003 1007 1000 1007],[487 622 464 808 853]
84,84,5847,6999,"[83, 4543, 9003, 13463, 17923]",[1008 1009 1005 1008 1008],[590 668 929  58 465]
85,85,5848,6049,"[84, 4544, 9004, 13464, 17924]",[1006 1003 1004 1006 1002],[370 664 819 844 256]
86,86,5850,6251,"[85, 4545, 9005, 13465, 17925]",[1007 1002 1005 1007 1006],[823 414 109 337 913]
87,87,5851,6919,"[86, 4546, 9006, 13466, 17926]",[1002 1004 1009 1006 1000],[173 965 932 404 346]
88,88,5853,6413,"[87, 4547, 9007, 13467, 17927]",[1000 1005 1004 1005 1000],[ 56 880 825 398 845]
89,89,5855,6120,"[88, 4548, 9008, 13468, 17928]",[1005 1004 1005 1000 1000],[977 577  47 563 177]
90,90,5859,6272,"[89, 4549, 9009, 13469, 17929]",[1005 1000 1000 1005 1001],[681  32 917 861 714]
91,91,5860,6009,"[90, 4550, 9010, 13470, 17930]",[1007 1002 1007 1008 1000],[689 322 394 928 710]
92,92,5860,6484,"[91, 4551, 9011, 13471, 17931]",[1005 1004 1004 1005 1002],[933 534 876 383  67]
93,93,5861,6687,"[92, 4552, 9012, 13472, 17932]",[1002 1007 1008 1006 1004],[809 355 830 578   7]
94,94,5863,6869,"[93, 4553, 9013, 13473, 17933]",[1002 1009 1008 1007 1000],[587 688  60 600 847]
95,95,5864,6616,"[94, 4554, 9014, 13474, 17934]",[1003 1006 1001 1009 1006],[686 865 691 994 278]
96,96,5867,6090,"[95, 4555, 9015, 13475, 17935]",[1000 1007 1003 1000 1004],[466 170 651 478 802]
97,97,5867,7010,"[96, 4556, 9016, 13476, 17936]",[1004 1002 1000 1009 1001],[356 798 991 789 270]
98,98,5872,6909,"[97, 4557, 9017, 13477, 17937]",[1001 1000 1000 1009 1001],[784   7 104 193 466]
99,99,5873,6171,"[98, 4558, 9018, 13478, 17938]",[1009 1001 1009 1000 1003],[862 223 579 493 594]
100,100,5874,6151,"[99, 4559, 9019, 13479, 17939]",[1009 1000 1005 1003 1002],[223 552 586 915 921]
101,101,5876,6333,"[100, 4560, 9020, 13480, 17940]",[1006 1001 1006 1000 1006],[541  36 538 699 770]
102,102,5878,6768,"[101, 4561, 9021, 13481, 17941]",[1002 1005 1002 1004 1003],[ 61 800 817 909 865]
103,103,5879,6738,"[102, 4562, 9022, 13482, 17942]",[1001 1006 1009 1006 1007],[416 564 399 882 618]
104,104,5879,6970,"[103, 4563, 9023, 13483, 17943]",[1001 1001 1009 1004 1005],[ 62 314 999 659 113]
105,105,5884,6394,"[104, 4564, 9024, 13484, 17944]",[1002 1009 1006 1006 1002],[205 243 786 435   1]
106,106,5890,6253,"[105, 4565, 9025, 13485, 17945]",[1008 1009 1008 1004 1009],[152 887  75 253 795]
107,107,5890,6718,"[106, 4566, 9026, 13486, 17946]",[1009 1004 1002 1002 1004],[913 281 526 825 299]
108,108,5891,6000,"[107, 4567, 9027, 13487, 17947]",[1006 1000 1009 1008 1007],[267 328 714 531 263]
109,109,5892,6668,"[108, 4568, 9028, 13488, 17948]",[1003 1000 1008 1003 1009],[249 711 906 768 267]
110,110,5893,6880,"[109, 4569, 9029, 13489, 17949]",[1009 1007 1009 1007 1007],[187 612 530 901 887]
111,111,5895,6840,"[110, 4570, 9030, 13490, 17950]",[1003 1005 1002 1008 1003],[174 153 818 127 225]
112,112,5896,6122,"[111, 4571, 9031, 13491, 17951]",[1001 1004 1001 1003 1004],[939 542 172 756 944]
113,113,5897,6324,"[112, 4572, 9032, 13492, 17952]",[1004 1006 1005 1002 1003],[519 603 665 199 908]
114,114,5898,6304,"[113, 4573, 9033, 13493, 17953]",[1008 1005 1001 1003 1007],[ 56 471  69 760 858]
115,115,5900,6496,"[114, 4574, 9034, 13494, 17954]",[1008 1004 1007 1001 1001],[381  65 541  15 908]
116,116,5902,5971,"[115, 4575, 9035, 13495, 17955]",[1004 1000 1007 1007 1000],[551 187 913 671 596]
117,117,5902,6911,"[116, 4576, 9036, 13496, 17956]",[1006 1004 1009 1001 1003],[128 767 336 134 918]
118,118,5905,6365,"[117, 4577, 9037, 13497, 17957]",[1009 1002 1006 1001 1005],[812 699 997 727 895]
119,119,5905,6618,"[118, 4578, 9038, 13498, 17958]",[1008 1002 1007 1003 1009],[753 833 798 948 541]
120,120,5906,7042,"[119, 4579, 9039, 13499, 17959]",[1003 1008 1009 1005 1004],[544 814 608 416 829]
121,121,5908,6759,"[120, 4580, 9040, 13500, 17960]",[1005 1005 1005 1008 1002],[684 280 880 108 697]
122,122,5908,7002,"[121, 4581, 9041, 13501, 17961]",[1004 1005 1000 1006 1009],[830 340 805 449 150]
123,123,5909,6042,"[122, 4582, 9042, 13502, 17962]",[1009 1000 1009 1001 1007],[725 962  59 578 423]
124,124,5910,6264,"[123, 4583, 9043, 13503, 17963]",[1003 1008 1003 1004 1006],[330 865 327 261 287]
125,125,5911,6941,"[124, 4584, 9044, 13504, 17964]",[1000 1008 1003 1007 1009],[115 716 709 117 877]
126,126,5912,6456,"[125, 4585, 9045, 13505, 17965]",[1002 1003 1007 1007 1007],[ 38 970  81 786 583]
127,127,5913,6891,"[126, 4586, 9046, 13506, 17966]",[1005 1003 1002 1009 1007],[445 863 830  58 168]
128,128,5914,6163,"[127, 4587, 9047, 13507, 17967]",[1009 1006 1002 1006 1008],[619 336 697 166  55]
129,129,5917,6568,"[128, 4588, 9048, 13508, 17968]",[1000 1001 1003 1009 1007],[648 421  87 109 276]
130,130,5920,6022,"[129, 4589, 9049, 13509, 17969]",[1005 1006 1004 1001 1005],[896 742 952 486 798]
131,131,5928,6083,"[130, 4590, 9050, 13510, 17970]",[1006 1003 1005 1003 1009],[658  14 363 668 727]
132,132,5932,6225,"[131, 4591, 9051, 13511, 17971]",[1005 1000 1005 1002 1002],[306 488 890 668 750]
133,133,5939,6983,"[132, 4592, 9052, 13512, 17972]",[1008 1005 1006 1006 1005],[806 803 254 913 114]
134,134,5940,6275,"[133, 4593, 9053, 13513, 17973]",[1002 1000 1003 1001 1008],[800  82 620 596 615]
135,135,5940,6953,"[134, 4594, 9054, 13514, 17974]",[1002 1006 1001 1003 1000],[612 910 581 780 877]
136,136,5941,6245,"[135, 4595, 9055, 13515, 17975]",[1000 1008 1001 1003 1003],[354 202 110 443 517]
137,137,5944,6185,"[136, 4596, 9056, 13516, 17976]",[1008 1004 1004 1004 1007],[300 948 300  51 670]
138,138,5945,5922,"[137, 4597, 9057, 13517, 17977]",[1008 1001 1005 1002 1004],[174 179 423 901 384]
139,139,5945,6144,"[138, 4598, 9058, 13518, 17978]",[1002 1005 1001 1002 1001],[751  48 326 791 614]
140,140,5946,6367,"[139, 4599, 9059, 13519, 17979]",[1001 1000 1008 1005 1008],[126 975 815 473 152]
141,141,5947,7034,"[140, 4600, 9060, 13520, 17980]",[1001 1001 1008 1009 1006],[603 910 204 805 144]
142,142,5949,6296,"[141, 4601, 9061, 13521, 17981]",[1000 1008 1008 1000 1007],[665 136 822 107 371]
143,143,5949,6529,"[142, 4602, 9062, 13522, 17982]",[1006 1002 1006 1007 1007],[209 216 109 765 215]
144,144,5953,6195,"[143, 4603, 9063, 13523, 17983]",[1000 1005 1008 1002 1003],[308 259 902 623 229]
145,145,5956,6832,"[144, 4604, 9064, 13524, 17984]",[1009 1005 1001 1001 1008],[308 216  78 738  19]
146,146,5957,6114,"[145, 4605, 9065, 13525, 17985]",[1009 1006 1006 1002 1003],[677 929 103 581 907]
147,147,5959,6064,"[146, 4606, 9066, 13526, 17986]",[1005 1003 1009 1006 1002],[863  19 271 126 511]
148,148,5961,6479,"[147, 4607, 9067, 13527, 17987]",[1001 1007 1005 1004 1008],[292 683 759 293 156]
149,149,5961,6944,"[148, 4608, 9068, 13528, 17988]",[1007 1006 1003 1004 1003],[444 238  10 986  82]
150,150,5962,6923,"[149, 4609, 9069, 13529, 17989]",[1000 1009 1000 1005 1001],[295 570 243 559 756]
151,151,5963,6438,"[150, 4610, 9070, 13530, 17990]",[1000 1005 1001 1004 1002],[ 413  312  880  207 1000]
152,152,5963,6671,"[151, 4611, 9071, 13531, 17991]",[1007 1002 1001 1002 1003],[ 72 249 191 487 973]
153,153,5964,6418,"[152, 4612, 9072, 13532, 17992]",[1003 1002 1006 1003 1000],[321 156 682 364 540]
154,154,5964,6651,"[153, 4613, 9073, 13533, 17993]",[1003 1002 1005 1000 1005],[981 719 878 796 901]
155,155,5965,7095,"[154, 4614, 9074, 13534, 17994]",[1004 1002 1009 1006 1000],[797 577 633 452   4]
156,156,5966,6610,"[155, 4615, 9075, 13535, 17995]",[1008 1000 1006 1009 1008],[507 789 263 308 743]
157,157,5968,7025,"[156, 4616, 9076, 13536, 17996]",[1001 1009 1004 1001 1009],[715 816 170  99 601]
158,158,5973,6894,"[157, 4617, 9077, 13537, 17997]",[1007 1005 1005 1002 1006],[512 880 460 430 102]
159,159,5975,6388,"[158, 4618, 9078, 13538, 17998]",[1004 1004 1003 1004 1002],[892 745 514 117 474]
160,160,5975,6398,"[159, 4619, 9079, 13539, 17999]",[1004 1002 1001 1007 1006],[ 76 755 648 259  93]
161,161,5977,5873,"[160, 4620, 9080, 13540, 18000]",[1008 1007 1004 1007 1002],[ 22 985 217  83 556]
162,162,5977,6803,"[161, 4621, 9081, 13541, 18001]",[1003 1005 1006 1009 1004],[643 236 108   9 164]
163,163,5978,6783,"[162, 4622, 9082, 13542, 18002]",[1004 1008 1005 1009 1009],[866  20 526 266 840]
164,164,5980,6742,"[163, 4623, 9083, 13543, 18003]",[1004 1008 1007 1009 1006],[ 74 857  46 734 960]
165,165,5981,6712,"[164, 4624, 9084, 13544, 18004]",[1005 1008 1002 1007 1004],[508 268  87 834 457]
166,166,5981,6945,"[165, 4625, 9085, 13545, 18005]",[1000 1000 1009 1006 1004],[243 159 990 693 634]
167,167,5982,6004,"[166, 4626, 9086, 13546, 18006]",[1006 1008 1000 1006 1002],[776 316 843 329 744]
168,168,5984,5964,"[167, 4627, 9087, 13547, 18007]",[1008 1002 1008 1007 1007],[326 991  86 120 418]
169,169,5984,7117,"[168, 4628, 9088, 13548, 18008]",[1005 1006 1002 1006 1009],[694 123 407 281 414]
170,170,5986,6844,"[169, 4629, 9089, 13549, 18009]",[1008 1006 1000 1003 1001],[662 989 206 299 944]
171,171,5986,7076,"[170, 4630, 9090, 13550, 18010]",[1008 1005 1005 1003 1002],[ 17 112 609 149 581]
172,172,5989,5833,"[171, 4631, 9091, 13551, 18011]",[1007 1000 1009 1008 1007],[654 462 905 968 486]
173,173,5990,6975,"[172, 4632, 9092, 13552, 18012]",[1006 1001 1007 1005 1007],[129 398 372 859  35]
174,174,5991,6247,"[173, 4633, 9093, 13553, 18013]",[1000 1009 1009 1007 1003],[662 422 472 165 533]
175,175,5997,5884,"[174, 4634, 9094, 13554, 18014]",[1007 1000 1000 1009 1008],[123 820 832 829 748]
176,176,5997,7036,"[175, 4635, 9095, 13555, 18015]",[1008 1002 1006 1000 1007],[182  28 585 638 251]
177,177,5998,6096,"[176, 4636, 9096, 13556, 18016]",[1002 1002 1002 1009 1001],[554 204 637 858 427]
178,178,6004,5965,"[177, 4637, 9097, 13557, 18017]",[1002 1004 1006 1005 1001],[421 170 788 703 958]
179,179,6009,6996,"[178, 4638, 9098, 13558, 18018]",[1009 1000 1008 1004 1009],[685 501 700 949 334]
180,180,6010,6289,"[179, 4639, 9099, 13559, 18019]",[1009 1007 1006 1009 1004],[470 604 577 859 928]
181,181,6011,6723,"[180, 4640, 9100, 13560, 18020]",[1006 1002 1005 1002 1008],[ 77 776 890 783 827]
182,182,6012,6926,"[181, 4641, 9101, 13561, 18021]",[1001 1001 1002 1000 1004],[264 868 241 922 759]
183,183,6015,6178,"[182, 4642, 9102, 13562, 18022]",[1006 1000 1006 1008 1006],[624 908 306 318 690]
184,184,6016,6147,"[183, 4643, 9103, 13563, 18023]",[1004 1004 1008 1000 1003],[961 320 383 770 727]
185,185,6017,6360,"[184, 4644, 9104, 13564, 18024]",[1001 1005 1008 1004 1001],[ 55 302 902 152 880]
186,186,6019,5854,"[185, 4645, 9105, 13565, 18025]",[1001 1008 1007 1007 1007],[254   1 395 541 174]
187,187,6019,6552,"[186, 4646, 9106, 13566, 18026]",[1009 1000 1005 1009 1002],[880 360 586 629 572]
188,188,6019,7007,"[187, 4647, 9107, 13567, 18027]",[1009 1002 1004 1000 1009],[921 992 939 955 219]
189,189,6020,6977,"[188, 4648, 9108, 13568, 18028]",[1009 1006 1003 1000 1004],[809 108  29  89 227]
190,190,6023,6906,"[189, 4649, 9109, 13569, 18029]",[1007 1007 1003 1002 1009],[680 439 126 516 924]
191,191,6024,6663,"[190, 4650, 9110, 13570, 18030]",[1008 1003 1000 1005 1001],[554 590 308 683 627]
192,192,6025,5935,"[191, 4651, 9111, 13571, 18031]",[1006 1005 1007 1008 1005],[ 62 594 895 828 419]
193,193,6026,6603,"[192, 4652, 9112, 13572, 18032]",[1001 1008 1005 1001 1004],[573 148 229  70 437]
194,194,6028,6107,"[193, 4653, 9113, 13573, 18033]",[1003 1000 1009 1008 1009],[568  48  82 867 709]
195,195,6029,6785,"[194, 4654, 9114, 13574, 18034]",[1004 1000 1005 1009 1005],[ 37 730  21  41 708]
196,196,6031,6047,"[195, 4655, 9115, 13575, 18035]",[1002 1000 1008 1004 1003],[910 866 934 784 263]
197,197,6031,6259,"[196, 4656, 9116, 13576, 18036]",[1007 1004 1000 1006 1009],[632  70 294 892 205]
198,198,6033,6229,"[197, 4657, 9117, 13577, 18037]",[1000 1005 1006 1003 1009],[211 390 975 201 237]
199,199,6034,6209,"[198, 4658, 9118, 13578, 18038]",[1005 1006 1007 1003 1001],[ 67 173 737 809 522]
200,200,6035,6168,"[199, 4659, 9119, 13579, 18039]",[1003 1006 1000 1001 1006],[763 256 638  58  48]
201,201,6036,7078,"[200, 4660, 9120, 13580, 18040]",[1007 1005 1009 1007 1005],[568 320 276 805 767]
202,202,6041,5805,"[201, 4661, 9121, 13581, 18041]",[1001 1004 1000 1003 1004],[681 118 816 928 674]
203,203,6041,6502,"[202, 4662, 9122, 13582, 18042]",[1007 1006 1004 1005 1005],[814  23 648 458 175]
204,204,6041,6735,"[203, 4663, 9123, 13583, 18043]",[1006 1002 1002 1007 1008],[514 807 296 528 713]
205,205,6042,6017,"[204, 4664, 9124, 13584, 18044]",[1001 1002 1009 1003 1005],[326 239 729  50 547]
206,206,6042,6472,"[205, 4665, 9125, 13585, 18045]",[1007 1000 1004 1004 1007],[ 41 559 186 480 294]
207,207,6045,6179,"[206, 4666, 9126, 13586, 18046]",[1001 1003 1009 1003 1000],[909 571 115 834 913]
208,208,6046,5916,"[207, 4667, 9127, 13587, 18047]",[1005 1007 1009 1009 1007],[192 497 413 282 322]
209,209,6046,6856,"[208, 4668, 9128, 13588, 18048]",[1001 1003 1004 1008 1002],[ 59 501  93 177 254]
210,210,6052,6938,"[209, 4669, 9129, 13589, 18049]",[1001 1001 1003 1003 1005],[352 674 491 841 540]
211,211,6054,6200,"[210, 4670, 9130, 13590, 18050]",[1006 1002 1005 1009 1008],[678 863 181 283 288]
212,212,6055,6422,"[211, 4671, 9131, 13591, 18051]",[1006 1001 1004 1008 1007],[885 278 848 513 641]
213,213,6058,6351,"[212, 4672, 9132, 13592, 18052]",[1007 1000 1001 1005 1002],[596 891 312 622 570]
214,214,6060,6058,"[213, 4673, 9133, 13593, 18053]",[1001 1008 1001 1002 1006],[400  65 821 431 976]
215,215,6060,6523,"[214, 4674, 9134, 13594, 18054]",[1003 1004 1003 1001 1009],[411 947 644 880 684]
216,216,6062,6483,"[215, 4675, 9135, 13595, 18055]",[1005 1002 1008 1000 1002],[746 852 520 850 201]
217,217,6063,6453,"[216, 4676, 9136, 13596, 18056]",[1006 1005 1000 1007 1001],[535 237 508  35 790]
218,218,6065,5957,"[217, 4677, 9137, 13597, 18057]",[1009 1005 1003 1008 1001],[ 82 273 770  77 569]
219,219,6065,6645,"[218, 4678, 9138, 13598, 18058]",[1008 1001 1008 1003 1009],[399 727 422 310 817]
220,220,6068,6817,"[219, 4679, 9139, 13599, 18059]",[1009 1000 1005 1005 1004],[412 693 948 283  84]
221,221,6070,6999,"[220, 4680, 9140, 13600, 18060]",[1002 1001 1004 1008 1003],[636 515 125 994 506]
222,222,6071,6736,"[221, 4681, 9141, 13601, 18061]",[1004 1007 1007 1002 1002],[983 170 527  61 976]
223,223,6074,6666,"[222, 4682, 9142, 13602, 18062]",[1000 1000 1005 1000 1003],[360 463 495 678 916]
224,224,6076,6403,"[223, 4683, 9143, 13603, 18063]",[1005 1006 1001 1007 1007],[120 774 367 754 410]
225,225,6076,6615,"[224, 4684, 9144, 13604, 18064]",[1007 1008 1002 1007 1002],[870 132 938 407 273]
226,226,6076,7090,"[225, 4685, 9145, 13605, 18065]",[1001 1001 1005 1004 1008],[808 555 706 236 120]
227,227,6077,6372,"[226, 4686, 9146, 13606, 18066]",[1001 1000 1008 1003 1000],[  4 272 559 463 764]
228,228,6077,9153,"[227, 4687, 9147, 13607, 18067]",[1007 1007 1008 1003 1009],[391 588 787 731  50]
229,229,6078,5887,"[228, 4688, 9148, 13608, 18068]",[1005 1005 1003 1005 1002],[810 810 747 216 214]
230,230,6078,6110,"[229, 4689, 9149, 13609, 18069]",[1002 1001 1000 1008 1002],[819 800 406 848 813]
231,231,6080,5847,"[230, 4690, 9150, 13610, 18070]",[1006 1000 1004 1004 1008],[958 202 142  22 652]
232,232,6081,5817,"[231, 4691, 9151, 13611, 18071]",[1006 1008 1004 1005 1005],[209 902  63 680 814]
233,233,6081,6969,"[232, 4692, 9152, 13612, 18072]",[1000 1005 1003 1003 1007],[717 770 746 430 449]
234,234,6082,5796,"[233, 4693, 9153, 13613, 18073]",[1002 1001 1004 1007 1000],[359 518  76 899  71]
235,235,6085,6423,"[234, 4694, 9154, 13614, 18074]",[1006 1007 1007 1008 1002],[895  29 370 775 765]
